sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
CHK-022-TUB-P20,FALSE,490.0,,,
SND-176-DRK-P3,FALSE,680.0,,,
WFR-160-CHK-P4,FALSE,850.0,,,
WFR-100-MCH-P3,FALSE,400.0,,,
BRB-030-YCH-P1,FALSE,80.0,,,
BRB-030-YST-P1,FALSE,80.0,,,
COK-135-GCHB-P4,FALSE,820.0,,,
SPD-350-WHT-P1,FALSE,600.0,,,
COK-135-CRN-P2,FALSE,400.0,,,
SWT-075-TFE-P6,FALSE,580.0,,,
SAC-360-SCM-P4,FALSE,1900.0,,,
CAK-200-CHP-P8,FALSE,1920.0,,,
GMY-075-DRP-P2,TRUE,200.0,,,
GMY-075-DRP-P1,TRUE,120.0,,,
CHK-040-BTN-P1,TRUE,80.0,,,
SWT-075-MNT-P4,TRUE,380.0,,,
COK-150-CCN-P4,FALSE,820.0,,,
BRB-30-CRN-P12,TRUE,400.0,,,
eBRB-YAP-P12,TRUE,400.0,,,
BRB-30-HZL-P12,TRUE,400.0,,,
eBRB-YCH-P12,TRUE,400.0,,,
WFR-100-MCH-P1,TRUE,200.0,,,
COK-135-HZL-P7,FALSE,1350.0,,,
CHK-040-BTN-P15,FALSE,740.0,,,
COK-135-GOJ-P3,FALSE,680.0,,,
CHK-022-TUB-P9,TRUE,350.0,,,
COK-130-CHP-P4,FALSE,820.0,,,
GMY-075-COL-P3,TRUE,280.0,,,
BRB-030-YST-P6,FALSE,230.0,,,
COK-150-CCN-P7,FALSE,1350.0,,,
COK-150-CCN-P2,FALSE,400.0,,,
WFR-160-CCN-P1,FALSE,210.0,,,
COK-135-CRN-P4,FALSE,820.0,,,
CHK-085-HZM-P5,TRUE,510.0,,,
COK-128-WHT-P1,FALSE,260.0,,,
GMY-075-COL-P6,TRUE,520.0,,,
SWT-075-TFE-P3,TRUE,300.0,,,
COK-128-BRN-P4,FALSE,820.0,,,
COK-135-HZL-P1,FALSE,260.0,,,
COK-135-CRN-P1,FALSE,260.0,,,
CHK-075-DKS-P1,TRUE,140.0,,,
CAK-450-FFR-P2,FALSE,1100.0,,,
GMY-075-DRP-P3,TRUE,280.0,,,
CHK-085-MKM-P6,TRUE,600.0,,,
COK-135-HZL-P2,FALSE,400.0,,,
CHK-075-ADS-P1,TRUE,140.0,,,
BRB-030-LIM-P12,TRUE,410.0,,,
eBRB-CRN-P28,FALSE,1000.0,,,
COK-135-HZL-P6,FALSE,980.0,,,
SWT-075-LMN-P1,TRUE,120.0,,,
GMY-075-COL-P2,TRUE,200.0,,,
BRB-030-YFF-P12,TRUE,410.0,,,
COK-150-PNT-P1,TRUE,260.0,,,
GMY-075-DRP-P6,FALSE,520.0,,,
CHK-075-ADS-P2,TRUE,200.0,,,
BRB-030-YCH-P12,TRUE,410.0,,,
CHK-022-TUB-P1,TRUE,50.0,,,
BRB-030-YST-P8,TRUE,290.0,,,
BRB-030-YFF-P8,TRUE,290.0,,,
BRB-030-YCH-P8,TRUE,290.0,,,
BRB-030-YAC-P6,TRUE,230.0,,,
SPD-350-HZL-P3,FALSE,1800.0,,,
COK-135-CRN-P3,FALSE,600.0,,,
COK-128-WHT-P7,FALSE,1350.0,,,
COK-128-WHT-P3,FALSE,600.0,,,
CAK-200-ORG-P8,FALSE,1100.0,,,
CHK-040-BTN-P4,TRUE,360.0,,,
SPD-350-DUO-P1,FALSE,600.0,,,
COK-128-BRN-P7,FALSE,1350.0,,,
COK-128-BRN-P6,FALSE,1200.0,,,
eBRB-YAP-P32,FALSE,1200.0,,,
CHK-040-BTN-P24,FALSE,1100.0,,,
COK-128-BRN-P2,FALSE,400.0,,,
COK-128-BRN-P3,FALSE,600.0,,,
SND-176-VNL-P1,FALSE,280.0,,,
CAK-200-CHP-P3,FALSE,840.0,,,
COK-128-WHT-P2,FALSE,400.0,,,
CAK-200-CHK-P8,FALSE,1920.0,,,
COK-135-BTR-P1,FALSE,260.0,,,
CHK-040-PMC-P24,FALSE,1100.0,,,
COK-135-HZL-P3,TRUE,600.0,,,
CHK-040-BTN-P2,TRUE,120.0,,,
eCAK-045-VNL-P12,FALSE,600.0,,,
CHK-040-BTN-P3,TRUE,160.0,,,
SAC-390-MPL-P3,FALSE,1400.0,,,
CHK-040-MCP-P2,TRUE,120.0,,,
CHK-040-MCP-P24,FALSE,1100.0,,,
CHK-040-MCP-P4,TRUE,200.0,,,
SND-176-DRK-P4,FALSE,850.0,,,
CHK-040-MCP-P3,TRUE,160.0,,,
CAK-200-CHP-P2,FALSE,450.0,,,
CAK-200-ORG-P3,FALSE,840.0,,,
eBRB-YST-P8,TRUE,300.0,,,
COK-135-CRN-P7,FALSE,1350.0,,,
CHK-075-ADS-P3,TRUE,280.0,,,
SPD-350-HDU-P2,FALSE,1200.0,,,
SND-176-DRK-P1,FALSE,280.0,,,
GMY-075-BER-P1,TRUE,120.0,,,
CHK-085-DKM-P3,TRUE,320.0,,,
